Dataset,#TrainingRelease,%training/total,%Defective/training,%Defective/testing,Classifier,Feature Selection,Balancing,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
BOOKKEEPER,2,17.76,68.05,70.75,Ibk,Greedy Backward,oversampling,Sensitive Learning,98,73,256,38,0.57,0.72,0.75,0.46
BOOKKEEPER,2,17.76,68.05,70.75,Ibk,Greedy Backward,undersampling,No,99,23,306,37,0.81,0.73,0.83,0.68
BOOKKEEPER,2,17.76,68.05,70.75,Ibk,Greedy Backward,undersampling,Sensitive Threshold,99,25,304,37,0.8,0.73,0.83,0.67
BOOKKEEPER,2,17.76,68.05,70.75,Ibk,Greedy Backward,undersampling,Sensitive Learning,68,77,252,68,0.47,0.5,0.63,0.26
BOOKKEEPER,2,17.76,68.05,70.75,Ibk,Greedy Backward,SMOTE,No,90,6,323,46,0.94,0.66,0.82,0.7
BOOKKEEPER,2,17.76,68.05,70.75,Ibk,Greedy Backward,SMOTE,Sensitive Threshold,90,6,323,46,0.94,0.66,0.82,0.7
BOOKKEEPER,2,17.76,68.05,70.75,Ibk,Greedy Backward,SMOTE,Sensitive Learning,100,56,273,36,0.64,0.74,0.77,0.54
BOOKKEEPER,2,17.76,68.05,70.75,Naive Bayes,No,No,No,131,209,120,5,0.39,0.96,0.91,0.23
BOOKKEEPER,2,17.76,68.05,70.75,Naive Bayes,No,No,Sensitive Threshold,132,229,100,4,0.37,0.97,0.64,0.18
BOOKKEEPER,2,17.76,68.05,70.75,Naive Bayes,No,No,Sensitive Learning,132,227,102,4,0.37,0.97,0.91,0.19
BOOKKEEPER,2,17.76,68.05,70.75,Naive Bayes,No,oversampling,No,133,245,84,3,0.35,0.98,0.9,0.15
BOOKKEEPER,2,17.76,68.05,70.75,Naive Bayes,No,oversampling,Sensitive Threshold,135,254,75,1,0.35,0.99,0.61,0.14
BOOKKEEPER,2,17.76,68.05,70.75,Naive Bayes,No,oversampling,Sensitive Learning,134,248,81,2,0.35,0.99,0.88,0.15
BOOKKEEPER,2,17.76,68.05,70.75,Naive Bayes,No,undersampling,No,133,214,115,3,0.38,0.98,0.91,0.23
BOOKKEEPER,2,17.76,68.05,70.75,Naive Bayes,No,undersampling,Sensitive Threshold,133,234,95,3,0.36,0.98,0.63,0.18
BOOKKEEPER,2,17.76,68.05,70.75,Naive Bayes,No,undersampling,Sensitive Learning,127,216,113,9,0.37,0.93,0.79,0.19
BOOKKEEPER,2,17.76,68.05,70.75,Naive Bayes,No,SMOTE,No,132,228,101,4,0.37,0.97,0.92,0.19
BOOKKEEPER,2,17.76,68.05,70.75,Naive Bayes,No,SMOTE,Sensitive Threshold,133,241,88,3,0.36,0.98,0.62,0.16
BOOKKEEPER,2,17.76,68.05,70.75,Naive Bayes,No,SMOTE,Sensitive Learning,126,133,196,10,0.49,0.93,0.89,0.41
