Dataset,#TrainingRelease,%training/total,%Defective/training,%Defective/testing,Classifier,Feature Selection,Balancing,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
AVRO,2,4.04,20.79,15.53,Ibk,Best first,oversampling,Sensitive Threshold,8,12,75,8,0.4,0.5,0.68,0.33
AVRO,2,4.04,20.79,15.53,Ibk,Best first,oversampling,Sensitive Learning,12,69,18,4,0.15,0.75,0.49,-0.02
AVRO,2,4.04,20.79,15.53,Ibk,Best first,undersampling,No,16,14,73,0,0.53,1,0.92,0.62
AVRO,2,4.04,20.79,15.53,Ibk,Best first,undersampling,Sensitive Threshold,16,19,68,0,0.46,1,0.89,0.53
AVRO,2,4.04,20.79,15.53,Ibk,Best first,undersampling,Sensitive Learning,10,8,79,6,0.56,0.62,0.77,0.51
AVRO,2,4.04,20.79,15.53,Ibk,Best first,SMOTE,No,14,11,76,2,0.56,0.88,0.87,0.61
AVRO,2,4.04,20.79,15.53,Ibk,Best first,SMOTE,Sensitive Threshold,14,13,74,2,0.52,0.88,0.86,0.57
AVRO,2,4.04,20.79,15.53,Ibk,Best first,SMOTE,Sensitive Learning,16,15,72,0,0.52,1,0.91,0.6
AVRO,2,4.04,20.79,15.53,Ibk,Greedy Backward,No,No,14,11,76,2,0.56,0.88,0.87,0.61
AVRO,2,4.04,20.79,15.53,Ibk,Greedy Backward,No,Sensitive Threshold,14,13,74,2,0.52,0.88,0.86,0.57
AVRO,2,4.04,20.79,15.53,Ibk,Greedy Backward,No,Sensitive Learning,14,13,74,2,0.52,0.88,0.87,0.57
AVRO,2,4.04,20.79,15.53,Ibk,Greedy Backward,oversampling,No,8,12,75,8,0.4,0.5,0.67,0.33
AVRO,2,4.04,20.79,15.53,Ibk,Greedy Backward,oversampling,Sensitive Threshold,8,12,75,8,0.4,0.5,0.68,0.33
AVRO,2,4.04,20.79,15.53,Ibk,Greedy Backward,oversampling,Sensitive Learning,12,69,18,4,0.15,0.75,0.49,-0.02
AVRO,2,4.04,20.79,15.53,Ibk,Greedy Backward,undersampling,No,16,14,73,0,0.53,1,0.92,0.62
AVRO,2,4.04,20.79,15.53,Ibk,Greedy Backward,undersampling,Sensitive Threshold,16,19,68,0,0.46,1,0.89,0.53
AVRO,2,4.04,20.79,15.53,Ibk,Greedy Backward,undersampling,Sensitive Learning,10,8,79,6,0.56,0.62,0.77,0.51
AVRO,2,4.04,20.79,15.53,Ibk,Greedy Backward,SMOTE,No,14,11,76,2,0.56,0.88,0.87,0.61
AVRO,2,4.04,20.79,15.53,Ibk,Greedy Backward,SMOTE,Sensitive Threshold,14,13,74,2,0.52,0.88,0.86,0.57
AVRO,2,4.04,20.79,15.53,Ibk,Greedy Backward,SMOTE,Sensitive Learning,16,15,72,0,0.52,1,0.91,0.6
AVRO,2,4.04,20.79,15.53,Naive Bayes,No,No,No,0,0,87,16,NaN,0,0.87,0
AVRO,2,4.04,20.79,15.53,Naive Bayes,No,No,Sensitive Threshold,12,17,70,4,0.41,0.75,0.78,0.42
AVRO,2,4.04,20.79,15.53,Naive Bayes,No,No,Sensitive Learning,14,20,67,2,0.41,0.88,0.92,0.44
AVRO,2,4.04,20.79,15.53,Naive Bayes,No,oversampling,No,2,4,83,14,0.33,0.12,0.55,0.11
AVRO,2,4.04,20.79,15.53,Naive Bayes,No,oversampling,Sensitive Threshold,2,6,81,14,0.25,0.12,0.53,0.07
AVRO,2,4.04,20.79,15.53,Naive Bayes,No,oversampling,Sensitive Learning,16,87,0,0,0.16,1,0.5,0
AVRO,2,4.04,20.79,15.53,Naive Bayes,No,undersampling,No,8,1,86,8,0.89,0.5,0.89,0.59
AVRO,2,4.04,20.79,15.53,Naive Bayes,No,undersampling,Sensitive Threshold,13,36,51,3,0.27,0.81,0.7,0.22
AVRO,2,4.04,20.79,15.53,Naive Bayes,No,undersampling,Sensitive Learning,1,1,86,15,0.5,0.06,0.46,0.08
AVRO,2,4.04,20.79,15.53,Naive Bayes,No,SMOTE,No,9,12,75,7,0.43,0.56,0.82,0.38
AVRO,2,4.04,20.79,15.53,Naive Bayes,No,SMOTE,Sensitive Threshold,14,34,53,2,0.29,0.88,0.74,0.27
AVRO,2,4.04,20.79,15.53,Naive Bayes,No,SMOTE,Sensitive Learning,11,8,79,5,0.58,0.69,0.85,0.55
AVRO,2,4.04,20.79,15.53,Naive Bayes,Best first,No,No,0,0,87,16,NaN,0,0.94,0
AVRO,2,4.04,20.79,15.53,Naive Bayes,Best first,No,Sensitive Threshold,15,19,68,1,0.44,0.94,0.86,0.49
AVRO,2,4.04,20.79,15.53,Naive Bayes,Best first,No,Sensitive Learning,16,15,72,0,0.52,1,0.95,0.6
AVRO,2,4.04,20.79,15.53,Naive Bayes,Best first,oversampling,No,4,6,81,12,0.4,0.25,0.5,0.21
AVRO,2,4.04,20.79,15.53,Naive Bayes,Best first,oversampling,Sensitive Threshold,15,85,2,1,0.15,0.94,0.48,-0.01
AVRO,2,4.04,20.79,15.53,Naive Bayes,Best first,oversampling,Sensitive Learning,9,37,50,7,0.2,0.56,0.58,0.08
AVRO,2,4.04,20.79,15.53,Naive Bayes,Best first,undersampling,No,4,2,85,12,0.67,0.25,0.94,0.3
AVRO,2,4.04,20.79,15.53,Naive Bayes,Best first,undersampling,Sensitive Threshold,16,87,0,0,0.16,1,0.5,0
AVRO,2,4.04,20.79,15.53,Naive Bayes,Best first,undersampling,Sensitive Learning,5,10,77,11,0.33,0.31,0.6,0.2
AVRO,2,4.04,20.79,15.53,Naive Bayes,Best first,SMOTE,No,10,3,84,6,0.77,0.62,0.89,0.64
AVRO,2,4.04,20.79,15.53,Naive Bayes,Best first,SMOTE,Sensitive Threshold,15,85,2,1,0.15,0.94,0.48,-0.01
AVRO,2,4.04,20.79,15.53,Naive Bayes,Best first,SMOTE,Sensitive Learning,15,17,70,1,0.47,0.94,0.93,0.53
AVRO,2,4.04,20.79,15.53,Naive Bayes,Greedy Backward,No,No,0,0,87,16,NaN,0,0.94,0
AVRO,2,4.04,20.79,15.53,Naive Bayes,Greedy Backward,No,Sensitive Threshold,15,19,68,1,0.44,0.94,0.86,0.49
AVRO,2,4.04,20.79,15.53,Naive Bayes,Greedy Backward,No,Sensitive Learning,16,15,72,0,0.52,1,0.95,0.6
AVRO,2,4.04,20.79,15.53,Naive Bayes,Greedy Backward,oversampling,No,4,6,81,12,0.4,0.25,0.5,0.21
AVRO,2,4.04,20.79,15.53,Naive Bayes,Greedy Backward,oversampling,Sensitive Threshold,15,85,2,1,0.15,0.94,0.48,-0.01
AVRO,2,4.04,20.79,15.53,Naive Bayes,Greedy Backward,oversampling,Sensitive Learning,9,37,50,7,0.2,0.56,0.58,0.08
AVRO,2,4.04,20.79,15.53,Naive Bayes,Greedy Backward,undersampling,No,4,2,85,12,0.67,0.25,0.94,0.3
AVRO,2,4.04,20.79,15.53,Naive Bayes,Greedy Backward,undersampling,Sensitive Threshold,16,87,0,0,0.16,1,0.5,0
AVRO,2,4.04,20.79,15.53,Naive Bayes,Greedy Backward,undersampling,Sensitive Learning,5,10,77,11,0.33,0.31,0.6,0.2
