RELEASE,FILENAME,SIZE,LOC_added,MAX_LOC_Added,AVG_LOC_Added,CHURN,MAX_Churn,AVG_Churn,NR,NAUTH,CHGSETSIZE,MAX_ChgSet,AVG_ChgSet,BUGGYNESS
3,src/java/org/apache/avro/ipc/DatagramServer.java,79,79,79,79,79,79,79,1,1,12,12,12,No
3,src/java/org/apache/avro/ipc/DatagramTransceiver.java,84,84,84,84,84,84,84,1,1,12,12,12,No
3,src/java/org/apache/avro/ipc/HttpServer.java,59,85,76,42,59,76,29,2,1,6,3,3,No
3,src/java/org/apache/avro/ipc/HttpTransceiver.java,118,120,116,40,118,116,39,3,1,9,3,3,No
3,src/java/org/apache/avro/ipc/RPCContext.java,149,18,18,18,0,0,0,1,1,12,12,12,No
3,src/java/org/apache/avro/ipc/RPCPlugin.java,74,4,4,4,0,0,0,1,1,12,12,12,No
3,src/java/org/apache/avro/ipc/Requestor.java,231,10,8,5,-1,0,0,2,1,37,25,25,No
3,src/java/org/apache/avro/ipc/Responder.java,209,10,8,5,-13,0,-6,2,1,37,25,25,No
3,src/java/org/apache/avro/ipc/ResponderServlet.java,56,56,56,56,56,56,56,1,1,3,3,3,No
3,src/java/org/apache/avro/ipc/Server.java,29,29,29,29,29,29,29,1,1,12,12,12,No
3,src/java/org/apache/avro/ipc/SocketServer.java,111,2,2,2,0,0,0,1,1,12,12,12,No
3,src/java/org/apache/avro/ipc/SocketTransceiver.java,97,9,9,9,2,2,2,1,1,12,12,12,No
3,src/java/org/apache/avro/ipc/Transceiver.java,43,0,0,0,0,0,0,0,0,0,0,0,No
3,src/java/org/apache/avro/reflect/FixedSize.java,37,0,0,0,0,0,0,0,0,0,0,0,No
3,src/java/org/apache/avro/reflect/ReflectData.java,355,70,70,70,50,50,50,1,1,25,25,25,Yes
3,src/java/org/apache/avro/reflect/ReflectDatumReader.java,101,7,7,7,-17,-17,-17,1,1,25,25,25,Yes
3,src/java/org/apache/avro/reflect/ReflectDatumWriter.java,74,8,8,8,8,8,8,1,1,25,25,25,Yes
3,src/java/org/apache/avro/reflect/ReflectRequestor.java,112,1,1,1,-2,-2,-2,1,1,25,25,25,No
3,src/java/org/apache/avro/reflect/ReflectResponder.java,100,2,2,2,-29,-29,-29,1,1,25,25,25,Yes
3,src/java/org/apache/avro/specific/ProtocolTask.java,80,3,3,3,-26,-26,-26,1,1,25,25,25,No
3,src/java/org/apache/avro/specific/SchemaTask.java,29,2,2,2,0,0,0,1,1,25,25,25,No
3,src/java/org/apache/avro/specific/SpecificCompiler.java,310,177,174,59,22,21,7,3,2,28,1,1,No
3,src/java/org/apache/avro/specific/SpecificData.java,98,28,28,28,27,27,27,1,1,25,25,25,Yes
3,src/java/org/apache/avro/specific/SpecificDatumReader.java,46,6,6,6,-2,-2,-2,1,1,25,25,25,Yes
3,src/java/org/apache/avro/specific/SpecificDatumWriter.java,40,6,6,6,4,4,4,1,1,25,25,25,No
3,src/java/org/apache/avro/specific/SpecificExceptionBase.java,41,0,0,0,0,0,0,0,0,0,0,0,No
3,src/java/org/apache/avro/specific/SpecificFixed.java,29,0,0,0,0,0,0,0,0,0,0,0,No
3,src/java/org/apache/avro/specific/SpecificRecord.java,28,0,0,0,0,0,0,0,0,0,0,0,No
